Name,Latitude,Longitude,OBJECTID,KGISCode,KGISWardID,DepartmentCode,KGISVillageID,KGISPOL_OPSTID,POL_OPSTName
,12.2672050060923,77.2351649990061,178,29578055796198140000HMPOLPUOFFPOP0001,,178,30142,178,"Police Outpost, CR Nagar"
,14.4822238938122,74.4916988881795,179,29563054856034680000HMPOLPUOFFPOP0002,,179,9208,179,"Police Outpost, Bhandival"
,13.5030429999746,77.5151960004281,18,29582055956233750000HMPOLPUOFFPOP0001,,18,25874,18,"Police Outpost, Thondebavi "
,14.7629111120703,74.2224038892876,180,29563054786026270000HMPOLPUOFFPOP0002,,180,9055,180,"Police Outpost, Amadalli"
,14.2818988914223,74.4508138883266,181,29563054878030980000HMPOLPUOFFPOP0001,,181,8956,181,"Police Outpost, Honnavar"
,14.5188388906028,75.8079011120995,182,29567055098031240000HMPOLPUOFFPOP0001,,182,11962,182,"Police Outpost, Harappanahalli Taluk"
,13.5890709999732,77.7843179998288,19,29582055966234650000HMPOLPUOFFPOP0001,,19,30427,19,"Police Outpost, Peresandra "
,15.6319210002388,74.5029000001484,2,29555054398030350000HMPOLPUOFFPOP0001,,2,1610,2,"Police Outpost, Gym and Model "
,13.8423010000732,77.836398999716,20,29582055986238190000HMPOLPUOFFPOP0001,,20,30262,20,"Police Outpost, Guluru "
,13.3480840000495,77.9860140003814,21,29582056006246000000HMPOLPUOFFPOP0001,,21,30796,21,"Police Outpost, Kaiwara "
,13.2618600001107,77.8468530000318,22,29582055996242730000HMPOLPUOFFPOP0001,,22,31205,22,"Police Outpost, Jangamakote "
,12.9065460000963,78.1309410000452,23,29581055936225490000HMPOLPUOFFPOP0001,,23,15882,23,"Police Outpost, Budikote"
,12.9749639996768,78.2610609997232,24,29581055938032240000HMPOLPUOFFPOP0001,,24,16076,24,"Police Outpost, Oorgaum"
,13.190389000439,78.1064029999948,25,29581055916219340000HMPOLPUOFFPOP0001,,25,16380,25,"Police Outpost, Sugatoor "
,13.1392871995869,78.0021203004239,26,29581055916218200000HMPOLPUOFFPOP0001,,26,16332,26,"Police Outpost, Narasapura "
,13.1402400001241,78.1347540002371,27,29581055918032210000HMPOLPUOFFPOP0001,,27,16282,27,"Police Outpost, DAR Quarters"
,13.1456380000487,78.130636000036,28,29581055918032210000HMPOLPUOFFPOP0002,,28,16282,28,"Police Outpost, Civil Quarters"
,12.930696999627,77.8867030003325,29,29581055926222450000HMPOLPUOFFPOP0001,,29,16572,29,"Police Outpost, Lakkur "
,15.8163379999915,74.5679500002802,3,29555054385977720000HMPOLPUOFFPOP0001,,3,893,3,"Police Outpost, Bagewadi"
,12.9828809999542,78.0735089996465,30,29581055926224150000HMPOLPUOFFPOP0001,,30,16898,30,"Police Outpost, Tekal "
,13.0581989997456,78.4254420001843,31,29581055946231750000HMPOLPUOFFPOP0001,,31,17256,31,"Police Outpost, Tailur "
,13.1694944003377,78.3995755997442,32,29581055948032250000HMPOLPUOFFPOP0001,,32,17197,32,"Police Outpost, Traffic Aid Mulbagal"
,13.2744949996412,78.4591990002375,33,29581055946230690000HMPOLPUOFFPOP0001,,33,17013,33,"Police Outpost, Gudipalli "
,13.2838980000879,78.2959280004489,34,29581055906217200000HMPOLPUOFFPOP0001,,34,17676,34,"Police Outpost, Yeldur "
,13.0684519997763,77.2438999999464,35,29584056056258880000HMPOLPUOFFPOP0001,,35,29768,35,"Police Outpost, Solur "
,13.5034030000526,76.4472710004178,36,29571055326100470000HMPOLPUOFFPOP0001,,36,14141,36,"Police Outpost, Handankere"
,13.6132400004552,77.3082099996161,37,29571055356109850000HMPOLPUOFFPOP0001,,37,18986,37,"Police Outpost, Kodigadala"
,13.5290787997489,77.300952999792,38,29571055366111130000HMPOLPUOFFPOP0001,,38,18153,38,"Police Outpost, Holavanahalli"
,12.9145999999895,76.9346000003283,39,29571055416126600000HMPOLPUOFFPOP0001,,39,18364,39,"Police Outpost, Yadiyur "
,15.8670600004402,74.6135280000548,4,29555054385977970000HMPOLPUOFFPOP0001,,4,914,4,"Police Outpost, Marihal"
,13.0779999999108,76.7560000001765,40,29571055406123860000HMPOLPUOFFPOP0001,,40,19887,40,"Police Outpost, Mayasandra "
,13.3440810004469,77.2311649998511,41,29571055376113760000HMPOLPUOFFPOP0001,,41,19682,41,"Police Outpost, Urdigere"
,13.2105380001316,77.1291009998722,42,29571055376115820000HMPOLPUOFFPOP0001,,42,19360,42,"Police Outpost, Honnudike"
,13.5000002002659,76.9999999666838,43,29571055376112430000HMPOLPUOFFPOP0001,,43,19278,43,"Police Outpost, Nelahal "
,13.5039000003941,76.7602999996794,44,29571055386116360000HMPOLPUOFFPOP0001,,44,17871,44,"Police Outpost, Hagalavadi "
,13.2420444434831,76.8608166580597,45,29571055386118770000HMPOLPUOFFPOP0001,,45,17950,45,"Police Outpost, Kadaba"
,14.0340939999722,76.3282700001106,46,29566055066057880000HMPOLPUOFFPOP0001,,46,6159,46,"Police Outpost, HD Pura "
,13.9541070003517,76.1223349999207,47,29566055066056910000HMPOLPUOFFPOP0001,,47,6128,47,"Police Outpost, Ramagiri  "
,13.8383899001773,76.7457846995627,48,29566055086061870000HMPOLPUOFFPOP0001,,48,31446,48,"Police Outpost, J G Hally"
,13.9082539997702,76.3156759995423,49,29566055076059100000HMPOLPUOFFPOP0001,,49,6308,49,"Police Outpost, Janakal "
,12.9773209692159,77.5886142885905,5,29572055428031620000HMPOLPUOFFPOP0002,,5,30092,5,"Police Outpost, M.S. Vidhana Soudha"
,14.19875100004,75.8205250002394,50,29567055146068930000HMPOLPUOFFPOP0001,,50,11479,50,"Police Outpost, Tyavanige"
,13.8556810002296,75.9614380000994,51,29567055146071200000HMPOLPUOFFPOP0001,,51,11675,51,"Police Outpost, Tavarekere"
,14.0913888897318,75.8766666699925,52,29567055146070190000HMPOLPUOFFPOP0001,,52,11554,52,"Police Outpost, Nallur "
,14.4824200004444,76.0783660000444,53,29567055126065980000HMPOLPUOFFPOP0001,,53,11684,53,"Police Outpost, Anaji "
,14.2989020001398,75.7962089997147,54,29567055136068080000HMPOLPUOFFPOP0001,,54,12171,54,"Police Outpost, Kulumbi"
,14.1051709999752,75.6792120002083,55,29567055136068440000HMPOLPUOFFPOP0001,,55,12095,55,"Police Outpost, Chelur"
,14.1017130000394,75.5265750002942,56,29567055136067320000HMPOLPUOFFPOP0001,,56,12073,56,"Police Outpost, Savalanga"
,14.6537770002734,75.8906259998933,57,29567055106063480000HMPOLPUOFFPOP0001,,57,31488,57,"Police Outpost, Halavagilu"
,14.6332059996912,76.0596779999377,58,29567055106063560000HMPOLPUOFFPOP0001,,58,11863,58,"Police Outpost, Ujjappavadera "
,14.6726230003982,76.2990619997717,59,29567055116064050000HMPOLPUOFFPOP0001,,59,12324,59,"Police Outpost, Gadimhankunte "
,12.9842559458422,77.5888858023174,6,29572055428031620000HMPOLPUOFFPOP0003,,6,30092,6,"Police Outpost, L.H. Vidhana Soudha"
,15.3463430000465,75.1456250000793,60,29562054758030830000HMPOLPUOFFPOP0001,,60,6689,60,"Police Outpost, Ganeshpet, Hubli Town"
,15.3457259995838,75.1428909995452,61,29562054758030830000HMPOLPUOFFPOP0002,,61,6689,61,"Police Outpost, Shivaji Chowk, Hubli Town"
,15.3524299996793,75.145692999606,62,29562054758030830000HMPOLPUOFFPOP0003,,62,6680,62,"Police Outpost, Hubli Town (Forest Chowk)"
,15.342572000149,75.1428600000354,63,29562054758030830000HMPOLPUOFFPOP0004,,63,6689,63,"Police Outpost, M G Market, Hubli Town"
,15.3408830003354,75.1444280001363,64,29562054758030830000HMPOLPUOFFPOP0005,,64,6689,64,"Police Outpost, Ghantikeri "
,15.3371150000155,75.1350359995596,65,29562054758030830000HMPOLPUOFFPOP0006,,65,6689,65,"Police Outpost, Sadar Sofa, Old Hubli "
