district,crime_type,latitude,longitude,date,time
Banashankari,attempted murder,12.9204433,77.5663689,2019-04-20 00:00:00.000,17:00:00
Banashankari,attempted murder,12.87974,77.50031,2017-03-05 00:00:00.000,17:00:00
Banashankari,attempted murder,12.92957,77.57276,2017-01-10 00:00:00.000,06:00:00
Banashankari,attempted murder,12.91851,77.58122,2017-08-11 00:00:00.000,23:45:00
Banashankari,attempted murder,12.87974,77.50031,2017-09-11 00:00:00.000,05:00:00
Banashankari,attempted murder,12.89066,77.575524,2018-01-15 00:00:00.000,18:15:00
Banashankari,attempted murder,13.01965,77.60673,2019-11-03 00:00:00.000,13:15:00
Banashankari,attempted murder,12.944814,77.587996,2015-03-22 00:00:00.000,14:30:00
Banashankari,attempted murder,12.942789,77.596405,2015-11-04 00:00:00.000,14:00:00
Banashankari,attempted murder,12.946042,77.593699,2015-07-22 00:00:00.000,18:30:00
Banashankari,attempted murder,12.93481,77.591525,2015-06-08 00:00:00.000,21:00:00
Banashankari,attempted murder,12.945283,77.58671,2015-11-08 00:00:00.000,00:15:00
Banashankari,attempted murder,12.942789,77.596405,2015-08-16 00:00:00.000,20:30:00
Banashankari,attempted murder,12.934073,77.592244,2015-03-09 00:00:00.000,20:00:00
Banashankari,attempted murder,12.944485,77.591988,2015-06-09 00:00:00.000,20:00:00
Banashankari,attempted murder,12.945602,77.588022,2015-03-10 00:00:00.000,09:15:00
Banashankari,attempted murder,12.946595,77.59197,2015-11-17 00:00:00.000,21:00:00
Banashankari,attempted murder,12.944814,77.587996,2016-08-03 00:00:00.000,13:15:00
Banashankari,attempted murder,12.944814,77.587996,2016-03-20 00:00:00.000,13:00:00
Banashankari,attempted murder,12.942707,77.585262,2016-04-26 00:00:00.000,04:00:00
Banashankari,attempted murder,12.935847,77.593125,2017-06-14 00:00:00.000,04:30:00
Banashankari,attempted murder,12.944265,77.593685,2017-06-07 00:00:00.000,20:45:00
Banashankari,attempted murder,12.945058,77.591578,2017-12-19 00:00:00.000,14:00:00
Banashankari,attempted murder,12.9446676,77.592128,2018-10-25 00:00:00.000,10:45:00
Banashankari,attempted murder,12.941015,77.580237,2018-11-28 00:00:00.000,17:00:00
Banashankari,attempted murder,12.9446676,77.592128,2018-12-24 00:00:00.000,20:00:00
Banashankari,attempted murder,12.938585,77.58509,2019-06-01 00:00:00.000,15:00:00
Banashankari,attempted murder,12.946428,77.591183,2019-02-18 00:00:00.000,09:45:00
Banashankari,attempted murder,12.951431,77.590558,2019-02-27 00:00:00.000,13:30:00
Banashankari,attempted murder,12.945058,77.591578,2019-08-04 00:00:00.000,12:00:00
Banashankari,attempted murder,12.946042,77.593699,2019-07-08 00:00:00.000,12:00:00
Banashankari,attempted murder,12.942008,77.593672,2019-09-12 00:00:00.000,21:00:00
Banashankari,attempted murder,12.936049,77.592597,2019-10-12 00:00:00.000,21:30:00
Banashankari,attempted murder,12.943814,77.59715,2019-12-22 00:00:00.000,16:30:00
Banashankari,attempted murder,12.89062558,77.56405571,2015-01-21 00:00:00.000,12:30:00
Banashankari,attempted murder,12.89117067,77.5699034,2015-04-30 00:00:00.000,15:00PM
Banashankari,attempted murder,12.88290759,77.56690606,2015-05-22 00:00:00.000,19:45PM
Banashankari,attempted murder,12.917986,77.553778,2016-11-01 00:00:00.000,21:15PM
